Model_Name,Training_Time_Sec,Model_Size_KB
Baseline_DecisionTree,0.042893409729003906,4.2900390625
Boosting_LightGBM,0.28954362869262695,343.06640625
DeepLearning_MLP,53.07131886482239,90.4921875
