Config,Test_Acc,Test_Prec,Test_Rec,Test_F1,Test_AUC,Test_PR_AUC,B_Acc,B_Prec,B_Rec,B_F1,B_AUC,B_PR_AUC
Raw (No Balancing),0.8859800206682742,0.876020209871745,0.9947043248014121,0.9315974374870841,0.9818226156645019,0.9913980680511921,0.7854513584574935,0.8508439545297968,0.7574363692118982,0.8014276443867618,0.8132682985097399,0.8670929776871562
Random Undersampling (RUS),0.9638305201515673,0.9757815940114487,0.9779346866725508,0.9768569539343178,0.9884311250469364,0.996148567374037,0.7354951796669588,0.8487261146496815,0.6537871818460594,0.7386107742941278,0.8125913752320609,0.8668179750532291
Random Oversampling (ROS),0.9707199448846021,0.9806081974438079,0.9819064430714917,0.9812568908489526,0.9866253718542206,0.9942217355061799,0.7602103418054338,0.8533034714445689,0.7010119595216191,0.7696969696969697,0.80726601541503,0.8586351318811402
SMOTE,0.9603858077850499,0.9678120922140061,0.9819064430714917,0.9748083242059146,0.9848868191447941,0.9935852606955358,0.7666958808063102,0.8560885608856088,0.7114382091383011,0.7770892647797689,0.8280876484526,0.8757925705703344
ADASYN,0.8911470892180503,0.8814553990610329,0.9942630185348632,0.9344670261302365,0.9873015334180384,0.9946566158048422,0.7733567046450482,0.8457484188334504,0.7381171419809874,0.7882757491403307,0.8064170695583524,0.8472780134059978
