Model,Test_Accuracy,Test_Precision,Test_Recall_DR,Test_F1,Test_ROC_AUC,Test_PR_AUC,Test_FPR,Test_FNR,Test_TN,Test_FP,Test_FN,Test_TP,Test_Latency_us,B_Accuracy,B_Precision,B_Recall_DR,B_F1,B_ROC_AUC,B_PR_AUC,B_FPR,B_FNR,B_TN,B_FP,B_FN,B_TP,B_Latency_us
XGBoost,0.9876653291722396,0.9934264585045193,0.9929369250985546,0.9931816314795038,0.9963031799852808,0.9996013551957903,0.062402496099843996,0.007063074901445467,601,40,43,6045,6.125752435855126,0.6769060773480663,0.6359884440775898,0.7265440829797265,0.6782570422535211,0.7677704081912826,0.7933652516648304,0.3668885191347754,0.27345591702027344,3044,1764,1160,3082,3.75961071878507
LSTM,0.9910833704859563,0.9980171844018506,0.9921156373193167,0.9950576606260296,0.997912186526883,0.9997544023525203,0.0187207488299532,0.00788436268068331,629,12,48,6040,11.138105342851953,0.6331491712707182,0.600963644327639,0.6468646864686468,0.623069936421435,0.7398116430968033,0.7600395882859653,0.37895174708818635,0.35313531353135313,2986,1822,1498,2744,1.8589536129440392
GRU,0.9916778124535592,0.9975255691191026,0.9932654402102497,0.9953909465020576,0.9982888770215724,0.9997997861229684,0.0234009360374415,0.006734559789750329,626,15,41,6047,5.696216333247273,0.6427624309392265,0.6082385754130015,0.6683168316831684,0.6368639784342357,0.7037407107123832,0.6907243308035637,0.379783693843594,0.3316831683168317,2982,1826,1407,2835,2.1035631717239296
